19:34:54  DEBUG i.g.b.wdm.cache.ResolutionCache - Resolution chrome=96 in cache (valid until 20:22:17 28/11/2021 MSK)
19:34:54  DEBUG i.g.b.wdm.cache.ResolutionCache - Resolution chrome96=96.0.4664.45 in cache (valid until 19:22:17 29/11/2021 MSK)
19:34:54  INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 96.0.4664.45 (resolved driver for Chrome 96)
19:34:54  DEBUG i.g.bonigarcia.wdm.WebDriverManager - Driver chromedriver 96.0.4664.45 found in cache
19:34:54  INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\julia\.cache\selenium\chromedriver\win32\96.0.4664.45\chromedriver.exe
19:34:56  INFO  manager.ApplicationManager - Tests starts on ChromeDriver
19:35:29  INFO  test.TestBase - Start test--testBoardCreation2
19:35:29  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: .boards-page-board-section-list-item
19:35:29  INFO  manager.MyListener - Element with locator--By.cssSelector: .boards-page-board-section-list-itemwas found
19:35:29  INFO  manager.MyListener - Stert search element by locator--By.xpath: //*[contains(@class,'icon-clock')]/../../..//li
19:35:40  INFO  manager.MyListener - Element with locator--By.xpath: //*[contains(@class,'icon-clock')]/../../..//liwas found
19:35:40  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [data-test-id='header-create-menu-button']
19:35:40  INFO  manager.MyListener - Element with locator--By.cssSelector: [data-test-id='header-create-menu-button']was found
19:35:40  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [aria-label='BoardIcon']
19:35:40  INFO  manager.MyListener - Element with locator--By.cssSelector: [aria-label='BoardIcon']was found
19:35:40  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [data-test-id='create-board-title-input']
19:35:40  INFO  manager.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-title-input']was found
19:35:40  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [data-test-id='create-board-title-input']
19:35:40  INFO  manager.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-title-input']was found
19:35:40  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [data-test-id='create-board-title-input']
19:35:40  INFO  manager.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-title-input']was found
19:35:40  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [data-test-id='create-board-submit-button']
19:35:40  INFO  manager.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-submit-button']was found
19:35:45  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [data-test-id='create-board-submit-button']
19:35:45  INFO  manager.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-submit-button']was found
19:35:45  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [data-test-id='create-board-submit-button']
19:35:45  INFO  manager.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-submit-button']was found
19:35:45  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: .list-name-input
19:35:48  INFO  manager.MyListener - Element with locator--By.cssSelector: .list-name-inputwas found
19:35:48  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: .list-name-input
19:35:48  INFO  manager.MyListener - Element with locator--By.cssSelector: .list-name-inputwas found
19:35:48  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: ._9Bfh6AVH84yAZe
19:35:48  INFO  manager.MyListener - Element with locator--By.cssSelector: ._9Bfh6AVH84yAZewas found
19:35:48  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: .boards-page-board-section-list-item
19:35:49  INFO  manager.MyListener - Element with locator--By.cssSelector: .boards-page-board-section-list-itemwas found
19:35:49  INFO  manager.MyListener - Stert search element by locator--By.xpath: //*[contains(@class,'icon-clock')]/../../..//li
19:35:49  INFO  manager.MyListener - Element with locator--By.xpath: //*[contains(@class,'icon-clock')]/../../..//liwas found
19:35:49  INFO  test.TestBase - ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
19:35:49  INFO  test.TestBase - Start test--testBoardCreation2
19:35:49  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: .boards-page-board-section-list-item
19:35:49  INFO  manager.MyListener - Element with locator--By.cssSelector: .boards-page-board-section-list-itemwas found
19:35:49  INFO  manager.MyListener - Stert search element by locator--By.xpath: //*[contains(@class,'icon-clock')]/../../..//li
19:35:49  INFO  manager.MyListener - Element with locator--By.xpath: //*[contains(@class,'icon-clock')]/../../..//liwas found
19:35:49  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [data-test-id='header-create-menu-button']
19:35:49  INFO  manager.MyListener - Element with locator--By.cssSelector: [data-test-id='header-create-menu-button']was found
19:35:49  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [aria-label='BoardIcon']
19:35:49  INFO  manager.MyListener - Element with locator--By.cssSelector: [aria-label='BoardIcon']was found
19:35:49  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [data-test-id='create-board-title-input']
19:35:49  INFO  manager.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-title-input']was found
19:35:49  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [data-test-id='create-board-title-input']
19:35:49  INFO  manager.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-title-input']was found
19:35:49  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [data-test-id='create-board-title-input']
19:35:49  INFO  manager.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-title-input']was found
19:35:49  INFO  manager.MyListener - Stert search element by locator--By.cssSelector: [data-test-id='create-board-submit-button']
19:35:49  INFO  manager.MyListener - Element with locator--By.cssSelector: [data-test-id='create-board-submit-button']was found
